[0131/145030:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/145122:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/145225:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/150027:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/150219:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/150510:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/150536:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/151104:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/151131:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/151256:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/151526:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/151658:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/152122:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/152311:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/152501:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/152524:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/152613:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/152635:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/191224:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/191429:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/191742:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/193759:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/193936:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/194741:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/195315:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/200101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/203030:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/203121:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0131/203653:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/105727:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/110427:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/143850:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/144356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/144609:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/145439:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/150331:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/161146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/161415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/165325:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/165620:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/165910:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/170153:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/171215:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/171724:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/172031:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/172254:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/172357:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/173030:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/173741:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0202/174413:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0203/171349:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0203/171622:ERROR:file_io.cc(30)] read: expected 4, observed 0
